id,abstract,conclusion,n_conclusion_sections,total
0704.0009,0,0,2,0
0704.0017,0,0,1,0
0704.0023,3,5,2,8
0704.0048,0,0,2,0
0704.0059,9,0,0,9
0704.0080,0,0,1,0
0704.0094,0,0,1,0
0704.0128,0,0,0,0
0704.0133,0,1,1,1
0704.0138,0,0,1,0
0704.0139,1,2,1,3
0704.0144,0,0,0,0
0704.0155,0,0,1,0
0704.0160,0,0,0,0
0704.0168,0,0,0,0
0704.0171,0,6,1,6
0704.0175,0,0,0,0
0704.0184,0,0,1,0
0704.0187,0,0,1,0
0704.0190,0,0,1,0
0704.0192,0,1,1,1
0704.0203,1,2,1,3
0704.0205,0,0,0,0
0704.0207,0,0,0,0
0704.0209,0,0,0,0
0704.0212,0,4,1,4
0704.0219,0,0,1,0
0704.0221,0,0,0,0
0704.0222,0,0,0,0
0704.0223,0,0,1,0
0704.0226,0,1,1,1
0704.0228,0,0,0,0
0704.0230,0,4,2,4
0704.0234,0,0,1,0
0704.0238,0,0,0,0
0704.0242,0,0,0,0
0704.0253,0,0,2,0
0704.0255,0,0,1,0
0704.0256,1,0,1,1
0704.0259,0,0,0,0
0704.0261,0,9,2,9
0704.0265,2,10,1,12
0704.0266,0,0,0,0
0704.0267,2,11,1,13
0704.0269,0,4,2,4
0704.0270,0,0,0,0
0704.0276,0,0,1,0
0704.0279,0,0,2,0
0704.0280,0,0,1,0
0704.0287,0,0,0,0
0704.0290,0,7,2,7
0704.0297,0,0,1,0
0704.0299,0,0,1,0
0704.0303,0,1,2,1
0704.0307,1,0,1,1
0704.0310,0,6,2,6
0704.0312,0,0,2,0
0704.0314,0,0,0,0
0704.0316,4,8,1,12
0704.0344,0,0,1,0
0704.0350,0,43,2,43
0704.0351,0,0,1,0
0704.0355,0,6,1,6
0704.0356,0,0,2,0
0704.0360,0,0,2,0
0704.0381,0,0,2,0
0704.0387,2,1,1,3
0704.0401,0,0,1,0
0704.0423,0,0,0,0
0704.0426,0,0,0,0
0704.0428,0,0,1,0
0704.0441,2,2,1,4
0704.0448,0,0,2,0
0704.0452,0,1,1,1
0704.0455,1,28,2,29
0704.0458,0,0,1,0
0704.0460,0,0,2,0
0704.0463,0,6,2,6
0704.0467,0,9,2,9
0704.0470,0,0,2,0
0704.0475,0,4,2,4
0704.0477,0,0,1,0
0704.0478,1,1,1,2
0704.0486,0,0,0,0
0704.0510,0,0,0,0
0704.0513,2,2,1,4
0704.0518,0,0,2,0
0704.0535,0,0,2,0
0704.0536,0,0,0,0
0704.0543,0,6,2,6
0704.0547,0,4,2,4
0704.0550,0,7,1,7
0704.0552,0,0,0,0
0704.0574,0,0,1,0
0704.0576,0,0,0,0
0704.0578,0,1,1,1
0704.0579,0,2,1,2
0704.0586,1,3,1,4
0704.0603,0,0,2,0
0704.0616,0,17,4,17
0704.0617,0,0,2,0
0704.0620,0,2,2,2
0704.0626,0,0,1,0
0704.0635,0,0,1,0
0704.0637,0,5,2,5
0704.0643,1,1,1,2
0704.0645,0,2,2,2
0704.0646,0,2,1,2
0704.0647,0,0,0,0
0704.0652,0,0,2,0
0704.0654,0,0,2,0
0704.0655,0,0,1,0
0704.0657,1,3,2,4
0704.0666,0,1,1,1
0704.0674,0,0,1,0
0704.0675,0,0,0,0
0704.0676,1,15,1,16
0704.0680,0,0,0,0
0704.0682,0,0,1,0
0704.0689,0,0,1,0
0704.0706,0,0,1,0
0704.0718,0,0,1,0
0704.0719,0,0,1,0
0704.0721,0,0,1,0
0704.0734,0,0,0,0
0704.0735,0,2,1,2
0704.0740,0,2,2,2
0704.0756,0,0,0,0
0704.0768,0,1,2,1
0704.0774,0,0,1,0
0704.0779,0,0,0,0
0704.0789,0,0,1,0
0704.0791,0,32,2,32
0704.0792,0,0,1,0
0704.0793,0,0,0,0
0704.0794,0,0,2,0
0704.0799,0,0,2,0
0704.0806,0,0,2,0
0704.0809,0,0,1,0
0704.0810,0,0,1,0
0704.0811,0,0,1,0
0704.0812,0,1,1,1
0704.0816,0,0,0,0
0704.0819,0,0,2,0
0704.0823,0,2,1,2
0704.0826,1,4,1,5
0704.0827,0,0,1,0
0704.0835,0,0,0,0
0704.0844,0,0,0,0
0704.0857,0,0,1,0
0704.0862,0,2,2,2
0704.0863,0,0,2,0
0704.0864,0,0,0,0
0704.0871,0,6,2,6
0704.0873,0,3,2,3
0704.0877,0,0,0,0
0704.0881,0,0,0,0
0704.0882,0,0,1,0
0704.0890,0,0,2,0
0704.0894,0,0,0,0
0704.0899,0,0,0,0
0704.0904,0,0,0,0
0704.0905,0,3,2,3
0704.0908,1,0,0,1
0704.0911,0,11,2,11
0704.0917,0,0,1,0
0704.0928,0,0,1,0
0704.0931,0,2,1,2
0704.0932,0,0,2,0
0704.0939,2,21,2,23
0704.0941,0,13,2,13
0704.0944,0,0,0,0
0704.0946,0,0,1,0
0704.0947,0,1,1,1
0704.0948,1,0,1,1
0704.0950,1,0,0,1
0704.0953,2,31,2,33
0704.0958,0,11,1,11
0704.0961,0,0,1,0
0704.0963,0,0,0,0
0704.0968,0,0,1,0
0704.0973,2,6,1,8
0704.0978,1,2,1,3
0704.0979,0,0,2,0
0704.0988,0,5,2,5
0704.1002,0,0,0,0
0704.1004,0,0,0,0
0704.1012,0,0,0,0
0704.1025,0,0,1,0
0704.1026,0,0,1,0
0704.1045,0,0,0,0
0704.1051,0,2,2,2
0704.1055,0,0,0,0
0704.1058,0,0,1,0
0704.1063,0,0,2,0
0704.1067,0,0,1,0
0704.1071,0,0,1,0
0704.1086,0,0,1,0
0704.1090,0,0,1,0
0704.1094,0,9,1,9
0704.1098,0,0,2,0
0704.1107,0,0,2,0
0704.1110,0,0,1,0
0704.1113,1,1,1,2
0704.1114,0,0,2,0
0704.1116,4,52,3,56
0704.1118,0,5,2,5
0704.1119,0,0,0,0
0704.1125,0,0,1,0
0704.1127,0,0,0,0
0704.1129,0,0,0,0
0704.1131,0,0,0,0
0704.1133,0,3,1,3
0704.1138,0,1,1,1
0704.1149,0,0,0,0
0704.1151,0,2,2,2
0704.1152,0,0,1,0
0704.1156,3,12,2,15
0704.1159,0,0,0,0
0704.1162,0,0,1,0
0704.1170,0,0,1,0
0704.1182,0,5,2,5
0704.1189,5,9,1,14
0704.1191,0,0,0,0
0704.1197,0,2,2,2
0704.1202,0,0,1,0
0704.1210,0,0,1,0
0704.1214,0,0,1,0
0704.1215,0,0,2,0
0704.1220,0,4,2,4
0704.1222,0,0,1,0
0704.1224,0,0,1,0
0704.1226,1,0,1,1
0704.1228,0,0,2,0
0704.1237,3,1,1,4
0704.1244,6,31,2,37
0704.1245,0,4,2,4
0704.1250,0,1,1,1
0704.1252,0,3,1,3
0704.1258,0,0,1,0
0704.1265,0,2,1,2
0704.1270,0,0,0,0
0704.1275,0,0,1,0
0704.1278,0,0,1,0
0704.1281,0,0,0,0
0704.1296,0,0,1,0
0704.1297,6,10,1,16
0704.1298,0,0,0,0
0704.1299,0,0,0,0
0704.1300,0,0,1,0
0704.1301,2,17,2,19
0704.1302,0,3,1,3
0704.1304,0,0,0,0
0704.1306,1,1,1,2
0704.1311,0,0,1,0
0704.1315,0,29,2,29
0704.1318,0,0,1,0
0704.1324,0,1,1,1
0704.1325,0,1,1,1
0704.1328,0,0,1,0
0704.1329,0,1,1,1
0704.1339,0,0,0,0
0704.1346,7,3,1,10
0704.1355,0,0,0,0
0704.1360,0,0,1,0
0704.1364,0,4,2,4
0704.1366,0,0,2,0
0704.1374,1,0,1,1
0704.1383,0,0,0,0
0704.1387,0,0,1,0
0704.1393,0,0,0,0
0704.1398,0,0,0,0
0704.1400,0,0,1,0
0704.1408,0,1,2,1
0704.1421,0,0,0,0
0704.1430,0,0,1,0
0704.1436,0,0,0,0
0704.1442,0,0,0,0
0704.1447,0,0,2,0
0704.1450,0,10,2,10
0704.1456,0,1,2,1
0704.1458,0,0,1,0
0704.1462,0,0,1,0
0704.1481,2,6,1,8
0704.1483,0,13,2,13
0704.1496,0,0,1,0
0704.1498,3,0,0,3
0704.1502,0,3,1,3
0704.1507,0,11,2,11
0704.1509,0,0,0,0
0704.1510,0,0,0,0
0704.1511,0,0,1,0
0704.1515,0,0,2,0
0704.1516,0,1,2,1
0704.1521,0,0,1,0
0704.1522,0,0,0,0
0704.1534,0,0,1,0
0704.1558,0,1,1,1
0704.1559,0,0,1,0
0704.1562,0,2,1,2
0704.1566,0,0,2,0
0704.1570,1,5,1,6
0704.1573,0,0,1,0
0704.1576,1,1,2,2
0704.1578,0,8,2,8
0704.1579,0,0,1,0
0704.1583,0,0,1,0
0704.1587,1,0,1,1
0704.1592,0,1,2,1
0704.1598,0,0,2,0
0704.1600,4,5,1,9
0704.1603,0,1,2,1
0704.1606,0,0,0,0
0704.1609,0,0,1,0
0704.1612,0,0,1,0
0704.1614,0,2,1,2
0704.1617,0,0,1,0
0704.1619,0,0,0,0
0704.1630,1,2,1,3
0704.1631,0,0,1,0
0704.1636,6,10,3,16
0704.1638,0,0,1,0
0704.1641,5,0,0,5
0704.1648,0,1,3,1
0704.1651,0,0,0,0
0704.1652,0,2,1,2
0704.1654,4,4,2,8
0704.1658,0,0,0,0
0704.1659,0,0,1,0
0704.1660,0,1,2,1
0704.1666,0,0,0,0
0704.1668,1,3,3,4
0704.1671,0,0,1,0
0704.1679,0,0,1,0
0704.1681,0,0,2,0
0704.1684,0,0,2,0
0704.1695,0,0,1,0
0704.1703,0,0,1,0
0704.1706,0,0,1,0
0704.1713,0,0,1,0
0704.1715,0,0,2,0
0704.1723,0,0,0,0
0704.1729,0,0,1,0
0704.1731,0,0,0,0
0704.1732,0,0,1,0
0704.1733,0,0,1,0
0704.1734,0,0,0,0
0704.1741,2,10,1,12
0704.1743,0,0,0,0
0704.1744,2,0,1,2
0704.1749,0,0,1,0
0704.1750,0,0,2,0
0704.1760,0,0,1,0
0704.1762,0,0,1,0
0704.1765,0,1,2,1
0704.1766,0,0,1,0
0704.1767,0,0,0,0
0704.1770,2,3,2,5
0704.1773,0,0,2,0
0704.1800,0,6,1,6
0704.1802,0,0,0,0
0704.1810,0,0,2,0
0704.1812,1,3,2,4
0704.1813,2,0,1,2
0704.1816,0,0,1,0
0704.1817,0,1,1,1
0704.1825,1,0,0,1
0704.1832,0,0,1,0
0704.1841,0,104,1,104
0704.1848,0,0,1,0
0704.1853,0,3,2,3
0704.1858,0,0,0,0
0704.1860,0,0,1,0
