id,abstract,conclusion,n_conclusion_sections,total
astro-ph/0001001,0,0,1,0
astro-ph/0001002,0,0,1,0
astro-ph/0001003,0,0,1,0
astro-ph/0001004,0,0,0,0
astro-ph/0001006,0,0,1,0
astro-ph/0001007,0,2,2,2
astro-ph/0001008,0,0,0,0
astro-ph/0001009,0,0,1,0
astro-ph/0001010,0,0,1,0
astro-ph/0001011,0,0,2,0
astro-ph/0001012,0,0,0,0
astro-ph/0001013,0,0,1,0
astro-ph/0001014,0,0,1,0
astro-ph/0001016,0,0,1,0
astro-ph/0001018,0,0,0,0
astro-ph/0001019,0,2,1,2
astro-ph/0001020,0,0,0,0
astro-ph/0001021,1,1,1,2
astro-ph/0001022,0,1,1,1
astro-ph/0001023,0,1,1,1
astro-ph/0001024,1,16,1,17
astro-ph/0001025,0,0,1,0
astro-ph/0001026,0,0,1,0
astro-ph/0001027,0,1,2,1
astro-ph/0001028,4,0,0,4
astro-ph/0001029,0,0,1,0
astro-ph/0001030,5,6,1,11
astro-ph/0001031,0,0,0,0
astro-ph/0001032,0,0,2,0
astro-ph/0001033,3,0,0,3
astro-ph/0001034,0,0,1,0
astro-ph/0001035,0,0,1,0
astro-ph/0001037,0,0,0,0
astro-ph/0001038,0,0,1,0
astro-ph/0001039,0,2,2,2
astro-ph/0001040,1,0,0,1
astro-ph/0001042,0,0,0,0
astro-ph/0001043,0,92,2,92
astro-ph/0001044,0,1,2,1
astro-ph/0001045,0,0,0,0
astro-ph/0001046,0,3,2,3
astro-ph/0001047,2,2,1,4
astro-ph/0001048,0,0,0,0
astro-ph/0001049,0,0,1,0
astro-ph/0001052,0,0,1,0
astro-ph/0001053,0,0,1,0
astro-ph/0001054,0,0,2,0
astro-ph/0001055,0,0,1,0
astro-ph/0001056,0,0,0,0
astro-ph/0001057,0,1,1,1
astro-ph/0001058,0,0,0,0
astro-ph/0001060,0,0,1,0
astro-ph/0001061,0,0,0,0
astro-ph/0001062,0,0,0,0
astro-ph/0001063,5,21,2,26
astro-ph/0001064,0,0,1,0
astro-ph/0001065,0,1,1,1
astro-ph/0001066,0,3,2,3
astro-ph/0001067,1,1,1,2
astro-ph/0001068,0,0,1,0
astro-ph/0001069,0,0,1,0
astro-ph/0001070,0,0,1,0
astro-ph/0001071,0,0,1,0
astro-ph/0001072,0,0,1,0
astro-ph/0001074,0,0,0,0
astro-ph/0001075,0,0,1,0
astro-ph/0001076,0,0,2,0
astro-ph/0001077,0,0,0,0
astro-ph/0001078,0,0,1,0
astro-ph/0001079,0,0,1,0
astro-ph/0001080,0,5,1,5
astro-ph/0001081,0,0,1,0
astro-ph/0001082,0,0,1,0
astro-ph/0001083,1,0,1,1
astro-ph/0001084,0,0,1,0
astro-ph/0001085,0,0,0,0
astro-ph/0001086,0,0,1,0
astro-ph/0001087,0,0,1,0
astro-ph/0001089,1,7,1,8
astro-ph/0001090,0,0,2,0
astro-ph/0001091,0,0,1,0
astro-ph/0001092,7,16,3,23
astro-ph/0001093,0,0,1,0
astro-ph/0001094,0,0,1,0
astro-ph/0001095,0,2,1,2
astro-ph/0001096,0,0,1,0
astro-ph/0001097,0,0,0,0
astro-ph/0001098,0,0,1,0
astro-ph/0001099,0,0,1,0
astro-ph/0001100,0,3,3,3
astro-ph/0001102,2,6,2,8
astro-ph/0001103,1,2,1,3
astro-ph/0001104,0,0,1,0
astro-ph/0001105,0,0,1,0
astro-ph/0001106,0,0,1,0
