Problem,File,Explanation
No val,/home/tcrossla/Documents/data/hubble_annotations/v3/astro-ph9903472.xml,Little h
No val,/home/tcrossla/Documents/data/hubble_annotations/v3/astro-ph0111594.xml,Little h
No tag,/home/tcrossla/Documents/data/hubble_annotations/v3/astro-ph9801183.xml,Plain TeX
No val,/home/tcrossla/Documents/data/hubble_annotations/v3/astro-ph0302209.xml,Little h
No tag,/home/tcrossla/Documents/data/hubble_annotations/v3/astro-ph9812157.xml,Plain TeX
No val,/home/tcrossla/Documents/data/hubble_annotations/v3/astro-ph0006170.xml,Little h
No val,/home/tcrossla/Documents/data/hubble_annotations/v3/astro-ph0205387.xml,Little h/Hubble Parameter
No val,/home/tcrossla/Documents/data/hubble_annotations/v3/astro-ph0006436.xml,Little h
No tag,/home/tcrossla/Documents/data/hubble_annotations/v3/astro-ph9907405.xml,Plain TeX
No val,/home/tcrossla/Documents/data/hubble_annotations/v3/astro-ph0212276.xml,Little h
No val,/home/tcrossla/Documents/data/hubble_annotations/v3/astro-ph0212497.xml,Little h
