id,score,label
astro-ph/0612097,2,1
1012.1143,0,0
astro-ph/9710166,2,1
1306.6494,0,0
astro-ph/0103296,0,0
0904.3200,2,0
1508.04121,0,-1
1012.2871,2,1
0808.4086,2,0
1609.08748,2,1
gr-qc/0603116,0,0
astro-ph/0411147,0,1
0711.1862,2,1
astro-ph/0202362,0,0
1405.6195,0,-1
astro-ph/0210077,0,0
1602.01081,2,0
astro-ph/0204529,2,0
astro-ph/0211438,0,0
0901.0808,0,0
0906.1181,2,1
1401.1615,2,0
0901.4511,0,1
0710.1082,2,1
1112.1862,2,-1
1404.3961,2,0
astro-ph/0202340,0,0
1605.05964,0,0
astro-ph/9708020,2,0
astro-ph/9801303,2,0
0909.0506,2,0
hep-ph/0309171,0,1
1311.6074,0,0
1408.0679,0,0
astro-ph/0101552,2,1
1301.2330,0,0
0805.1754,2,0
astro-ph/9808333,2,0
astro-ph/0610393,0,0
astro-ph/0201014,2,0
1301.6403,2,1
astro-ph/0505455,0,0
astro-ph/0102494,2,0
1301.1953,2,0
astro-ph/0410637,2,0
0806.4543,0,0
astro-ph/0411722,0,0
1202.3032,2,0
1001.1154,2,1
1305.2124,0,0
astro-ph/0111403,0,0
1301.5361,2,0
0809.3563,0,0
astro-ph/0004063,2,1
1708.05191,0,-1
astro-ph/0303399,2,1
0801.3297,2,1
astro-ph/9708161,0,0
1109.3193,0,0
astro-ph/0504147,0,-1
1704.02989,2,-1
1109.1333,0,0
1605.04256,2,-1
1208.2009,2,1
astro-ph/0311627,2,0
1403.4247,0,0
0808.3255,2,0
1709.01489,2,0
1407.0834,0,0
1109.3186,0,0
1001.1879,0,0
hep-ph/0105064,2,1
astro-ph/0512068,0,0
0801.1700,0,0
1209.6081,2,0
1605.02089,0,0
1212.1453,2,0
astro-ph/0212237,0,0
0804.3471,2,0
0901.0868,2,0
1302.6387,0,0
0710.1718,2,-1
0907.2932,2,0
1706.00430,0,0
1607.04107,0,0
1701.08987,2,0
1409.8546,0,0
0811.2253,2,0
1001.1642,2,0
astro-ph/0307190,2,0
astro-ph/0404428,0,1
1212.1460,0,0
1111.6792,0,0
1608.00746,0,1
astro-ph/0311477,0,0
0705.3966,2,0
0802.0702,2,0
1111.6942,0,0
1202.1887,0,0
astro-ph/9909263,0,0
1511.03617,2,-1
0902.2100,0,-1
1109.3376,0,-1
astro-ph/0304293,0,-1
astro-ph/0111268,0,-1
1503.04202,0,-1
astro-ph/9902169,2,-1
1209.2126,2,-1
astro-ph/0105188,2,-1
astro-ph/0509714,0,-1
1303.0855,2,-1
astro-ph/0201006,2,-1
0704.3104,2,-1
astro-ph/9711175,0,-1
1504.02661,2,-1
astro-ph/0402028,0,-1
1602.09087,2,-1
1510.05006,0,-1
1212.0368,2,-1
astro-ph/0302361,2,-1
0907.5254,2,-1
astro-ph/0405111,2,-1
1302.2065,2,-1
astro-ph/0401095,2,-1
1709.09177,0,-1
astro-ph/0212123,2,-1
astro-ph/0104474,2,-1
0810.5155,0,-1
astro-ph/0210567,2,-1
astro-ph/0301156,2,-1
astro-ph/0601565,0,-1
1001.3523,0,-1
0712.0004,0,-1
astro-ph/0009498,0,-1
1110.0324,2,-1
1307.7297,2,-1
1207.6511,0,-1
0811.3796,0,-1
astro-ph/0402634,2,-1
1102.0433,2,-1
1509.04071,2,-1
1011.2781,2,-1
astro-ph/0005254,2,-1
1708.07839,0,-1
astro-ph/0005324,2,-1
astro-ph/9802139,0,-1
1003.5900,2,-1
1207.3646,0,-1
1303.2049,2,-1
1004.3056,0,-1
0908.4544,2,-1
0910.1815,0,-1
astro-ph/0210447,0,-1
0809.2112,0,-1
0807.1465,0,-1
1701.03109,0,-1
0705.0780,0,-1
astro-ph/0603161,0,-1
1003.3791,0,-1
1403.2727,0,-1
1610.02068,2,-1
astro-ph/0205193,2,-1
1108.1981,2,-1
astro-ph/9908149,3,-1
astro-ph/0004226,2,-1
1601.07912,0,-1
1002.1975,2,-1
astro-ph/0209251,2,-1
astro-ph/9909455,0,-1
astro-ph/0407350,0,-1
astro-ph/0608205,2,-1
1506.02140,0,-1
astro-ph/0011485,0,-1
astro-ph/0507514,2,-1
astro-ph/0307194,2,-1
1408.0590,2,-1
0706.1687,0,-1
1309.3273,2,-1
1210.5760,2,-1
astro-ph/0111286,0,-1
1708.03631,2,-1
astro-ph/0211398,0,-1
1709.06535,0,-1
1708.06194,0,-1
1708.00491,0,-1
0908.3457,0,-1
0912.2380,0,-1
1108.5850,0,-1
1402.6401,0,-1
0907.0638,2,-1
astro-ph/0301503,2,-1
1406.6436,0,-1
1208.5229,2,-1
astro-ph/9712296,2,-1
astro-ph/9809008,0,-1
1010.4550,2,-1
astro-ph/9807035,0,-1
0812.4220,0,-1
1403.0544,2,-1
astro-ph/0111237,0,-1
