epoch,pos_train,neg_train,pos_test,neg_test
1,-2.1759622770289866e-08,-2.165064727499555e-08,-2.417819944255939e-09,-2.412559707565265e-09
2,-2.1759626323003545e-08,-2.1653775661434338e-08,-2.4178206103897537e-09,-2.41255992960987e-09
3,-2.175962965367262e-08,-2.166107360146441e-08,-2.4178210544789636e-09,-2.41255992960987e-09
4,-2.1759632762297088e-08,-2.1672408756501227e-08,-2.4178217206127783e-09,-2.4125603736990797e-09
5,-2.1759636759099976e-08,-2.164655277248073e-08,-2.417822386746593e-09,-2.4125603736990797e-09
6,-2.175964142203668e-08,-2.1643913994395803e-08,-2.417822608791198e-09,-2.4125608177882896e-09
7,-2.1759643864527334e-08,-2.1714225972857548e-08,-2.417822830835803e-09,-2.4125610398328945e-09
8,-2.1759646307017988e-08,-2.1633945079813088e-08,-2.4178234969696177e-09,-2.4125610398328945e-09
9,-2.175965052586548e-08,-2.1622895030048994e-08,-2.4178241631034325e-09,-2.4125612618774994e-09
10,-2.1759654744712975e-08,-2.1676600070463792e-08,-2.4178248292372473e-09,-2.412562150055919e-09
