epoch,pos_train_loss,neg_train_loss,pos_test_loss,neg_test_loss,pos_train_acc,neg_train_acc,pos_test_acc,neg_test_acc
0,15.724413251651582,,15.724402671597343,15.728238432026442,1.0,,1.0,0.0
1,5.957876616377056,6.025449564734687,5.957731093918304,6.026924660624385,0.9455547898001379,0.40523776705720194,0.968944099378882,0.37888198757763975
2,2.335795759124038,2.3920645628786774,2.335846076725906,2.3936382070315383,0.8780151619572708,0.600275671950379,0.8881987577639752,0.5652173913043478
3,1.137676255109803,1.1764460332637876,1.1382178947854293,1.1778668591691543,0.8456237077877325,0.6705720192970366,0.8385093167701864,0.6335403726708074
4,0.7998366024182912,0.8193955500291776,0.8004883476612914,0.8210882592888876,0.808407994486561,0.7422467263955892,0.8136645962732919,0.7329192546583851
5,0.6951053900193869,0.7543071252447623,0.6957890025929316,0.7567627251615423,0.9007580978635424,0.4913852515506547,0.9130434782608695,0.484472049689441
6,0.7011417599387172,0.712460563682535,0.7015988992647739,0.7122625112755215,0.8132322536181944,0.7008959338387319,0.8260869565217391,0.7267080745341615
7,0.708712517916557,0.6908549038631622,0.7088547559156221,0.6912375658751404,0.0,1.0,0.0,1.0
8,0.7046164288589262,0.6853576853145512,0.704627659618155,0.6853772192285464,0.0,1.0,0.0,1.0
9,0.7005052985331052,0.6863511630622928,0.7005054303639622,0.6863514268827451,0.0,1.0,0.0,1.0
10,0.6991196988465255,0.6872871954351224,0.6991196997408661,0.6872871983804294,0.0,1.0,0.0,1.0
11,0.6983386682623303,0.6880016266103327,0.6983386682657428,0.6880016266260678,0.0,1.0,0.0,1.0
12,0.6980835668721272,0.6882440679406827,0.6980835668721291,0.6882440679406278,0.0,1.0,0.0,1.0
13,0.6976542353092341,0.6886660131030248,0.6976542353092262,0.6886660131030206,0.0,1.0,0.0,1.0
14,0.6976122327071438,0.6887066237918609,0.6976122327071708,0.688706623791873,0.0,1.0,0.0,1.0
15,0.6969173996607214,0.6893942371737026,0.6969173996607336,0.6893942371737123,0.0,1.0,0.0,1.0
16,0.6965552652316376,0.6897530957614872,0.6965552652316628,0.689753095761475,0.0,1.0,0.0,1.0
17,0.6962987279238397,0.6900075529221114,0.6962987279238493,0.6900075529221115,0.0,1.0,0.0,1.0
18,0.6963490568741758,0.6899575765766263,0.6963490568741937,0.6899575765766419,0.0,1.0,0.0,1.0
19,0.6958121661175712,0.6904906964125257,0.6958121661175869,0.6904906964125094,0.0,1.0,0.0,1.0
20,0.6955155024003544,0.6907855724604128,0.6955155024003788,0.6907855724604095,0.0,1.0,0.0,1.0
21,0.6952107157449351,0.6910887432172781,0.6952107157449622,0.6910887432172754,0.0,1.0,0.0,1.0
22,0.695331184182125,0.6909688860188227,0.6953311841821364,0.6909688860188234,0.0,1.0,0.0,1.0
23,0.6946543423978485,0.6916427397015633,0.694654342397864,0.6916427397015357,0.0,1.0,0.0,1.0
24,0.6951341665462624,0.6911649210579821,0.6951341665462535,0.6911649210579999,0.0,1.0,0.0,1.0
25,0.695137268630651,0.6911618337149098,0.6951372686306345,0.6911618337149261,0.0,1.0,0.0,1.0
26,0.6947518487415675,0.6915455963942585,0.6947518487415605,0.6915455963942774,0.0,1.0,0.0,1.0
27,0.6945463272024606,0.6917503791147237,0.6945463272024414,0.6917503791147075,0.0,1.0,0.0,1.0
28,0.6945598550542865,0.691736896793008,0.6945598550542795,0.6917368967929891,0.0,1.0,0.0,1.0
29,0.6940525236908296,0.6922428199372899,0.6940525236908112,0.6922428199372777,0.0,1.0,0.0,1.0
30,0.6942423884656891,0.692053410141761,0.6942423884657102,0.6920534101417712,0.0,1.0,0.0,1.0
31,0.6946614538594243,0.6916356538992212,0.694661453859397,0.6916356538992401,0.0,1.0,0.0,1.0
32,0.6939595948253144,0.6923355575436235,0.6939595948253309,0.6923355575436145,0.0,1.0,0.0,1.0
33,0.6942083518257777,0.6920873588771951,0.694208351825794,0.6920873588772128,0.0,1.0,0.0,1.0
34,0.6939799017953878,0.6923152906035521,0.6939799017953905,0.6923152906035454,0.0,1.0,0.0,1.0
35,0.6936324347058135,0.6926622088155692,0.6936324347058046,0.6926622088155623,0.0,1.0,0.0,1.0
36,0.6939768193972209,0.6923183668620551,0.6939768193972181,0.6923183668620395,0.0,1.0,0.0,1.0
