id,score
astro-ph/0310001,0
astro-ph/0310002,0
astro-ph/0310003,0
astro-ph/0310004,0
astro-ph/0310005,0
astro-ph/0310006,2
astro-ph/0310008,0
astro-ph/0310009,0
astro-ph/0310010,0
astro-ph/0310011,0
astro-ph/0310012,0
astro-ph/0310013,0
astro-ph/0310014,1
astro-ph/0310016,0
astro-ph/0310017,1
astro-ph/0310018,0
astro-ph/0310019,0
astro-ph/0310020,1
astro-ph/0310021,0
astro-ph/0310022,0
astro-ph/0310024,1
astro-ph/0310025,0
astro-ph/0310026,0
astro-ph/0310027,0
astro-ph/0310028,0
astro-ph/0310029,0
astro-ph/0310030,0
astro-ph/0310031,1
astro-ph/0310032,0
astro-ph/0310033,1
astro-ph/0310034,0
astro-ph/0310035,0
astro-ph/0310036,2
astro-ph/0310037,0
astro-ph/0310038,3
astro-ph/0310039,1
astro-ph/0310040,0
astro-ph/0310041,0
astro-ph/0310042,0
astro-ph/0310043,0
astro-ph/0310044,0
astro-ph/0310045,0
astro-ph/0310046,0
astro-ph/0310047,0
astro-ph/0310048,0
astro-ph/0310049,0
astro-ph/0310050,0
astro-ph/0310051,0
astro-ph/0310052,0
astro-ph/0310053,0
astro-ph/0310054,0
astro-ph/0310055,0
astro-ph/0310058,0
astro-ph/0310059,0
astro-ph/0310060,1
astro-ph/0310061,0
astro-ph/0310062,1
astro-ph/0310063,0
astro-ph/0310065,0
astro-ph/0310066,0
astro-ph/0310067,0
astro-ph/0310068,0
astro-ph/0310069,0
astro-ph/0310070,1
astro-ph/0310071,2
astro-ph/0310072,0
astro-ph/0310073,0
astro-ph/0310074,0
astro-ph/0310075,0
astro-ph/0310076,2
astro-ph/0310077,0
astro-ph/0310078,0
astro-ph/0310080,0
astro-ph/0310081,1
astro-ph/0310082,0
astro-ph/0310083,0
astro-ph/0310084,1
astro-ph/0310085,0
astro-ph/0310087,1
astro-ph/0310088,2
astro-ph/0310090,0
astro-ph/0310091,0
astro-ph/0310092,2
astro-ph/0310093,0
astro-ph/0310094,0
astro-ph/0310095,0
astro-ph/0310096,0
astro-ph/0310097,1
astro-ph/0310098,0
astro-ph/0310099,0
astro-ph/0310100,0
astro-ph/0310102,1
astro-ph/0310103,0
astro-ph/0310104,0
astro-ph/0310105,1
astro-ph/0310106,0
astro-ph/0310107,2
astro-ph/0310108,0
astro-ph/0310109,0
astro-ph/0310110,1
astro-ph/0310111,1
astro-ph/0310112,0
astro-ph/0310113,0
astro-ph/0310114,3
astro-ph/0310115,1
astro-ph/0310116,0
astro-ph/0310117,0
astro-ph/0310118,0
astro-ph/0310119,2
astro-ph/0310121,0
astro-ph/0310122,0
astro-ph/0310124,0
astro-ph/0310125,0
astro-ph/0310126,0
astro-ph/0310128,4
astro-ph/0310129,0
astro-ph/0310130,0
astro-ph/0310131,2
astro-ph/0310132,1
astro-ph/0310133,0
astro-ph/0310134,0
astro-ph/0310135,0
astro-ph/0310136,0
astro-ph/0310138,0
astro-ph/0310139,0
astro-ph/0310140,0
astro-ph/0310141,1
astro-ph/0310142,0
astro-ph/0310143,0
astro-ph/0310144,1
astro-ph/0310146,0
astro-ph/0310147,1
astro-ph/0310148,0
astro-ph/0310149,0
astro-ph/0310150,0
astro-ph/0310151,0
astro-ph/0310152,0
astro-ph/0310153,0
astro-ph/0310154,0
astro-ph/0310155,1
astro-ph/0310156,1
astro-ph/0310157,0
astro-ph/0310158,1
astro-ph/0310159,0
astro-ph/0310160,0
astro-ph/0310161,0
astro-ph/0310162,0
astro-ph/0310163,0
astro-ph/0310164,0
astro-ph/0310165,0
astro-ph/0310166,0
astro-ph/0310167,1
astro-ph/0310168,0
astro-ph/0310169,0
astro-ph/0310170,0
astro-ph/0310171,0
astro-ph/0310173,0
astro-ph/0310174,2
astro-ph/0310175,1
astro-ph/0310176,0
astro-ph/0310177,0
astro-ph/0310179,0
astro-ph/0310180,1
astro-ph/0310182,0
astro-ph/0310183,1
astro-ph/0310184,0
astro-ph/0310185,1
astro-ph/0310187,0
astro-ph/0310188,1
astro-ph/0310189,0
astro-ph/0310190,0
astro-ph/0310191,0
astro-ph/0310192,0
astro-ph/0310193,1
astro-ph/0310194,0
astro-ph/0310195,0
astro-ph/0310196,1
astro-ph/0310197,1
astro-ph/0310198,0
astro-ph/0310199,0
astro-ph/0310200,0
astro-ph/0310201,0
astro-ph/0310202,0
astro-ph/0310203,0
astro-ph/0310204,0
astro-ph/0310205,0
astro-ph/0310207,2
astro-ph/0310208,0
astro-ph/0310209,0
astro-ph/0310210,0
astro-ph/0310211,0
astro-ph/0310212,2
astro-ph/0310213,0
astro-ph/0310215,0
astro-ph/0310216,0
astro-ph/0310217,0
astro-ph/0310218,0
astro-ph/0310219,0
astro-ph/0310220,1
astro-ph/0310221,1
astro-ph/0310222,0
astro-ph/0310223,0
astro-ph/0310224,1
astro-ph/0310225,0
astro-ph/0310226,0
astro-ph/0310227,0
astro-ph/0310228,0
astro-ph/0310230,0
astro-ph/0310231,2
astro-ph/0310232,0
astro-ph/0310233,0
astro-ph/0310234,1
astro-ph/0310235,0
astro-ph/0310236,1
astro-ph/0310237,0
astro-ph/0310241,0
astro-ph/0310242,1
astro-ph/0310243,0
astro-ph/0310244,0
astro-ph/0310245,0
astro-ph/0310246,0
astro-ph/0310247,0
astro-ph/0310248,1
astro-ph/0310249,0
astro-ph/0310250,0
astro-ph/0310251,0
astro-ph/0310252,1
astro-ph/0310253,0
astro-ph/0310254,1
astro-ph/0310255,0
astro-ph/0310256,1
astro-ph/0310257,0
astro-ph/0310258,1
astro-ph/0310259,0
astro-ph/0310260,0
astro-ph/0310261,1
astro-ph/0310262,1
astro-ph/0310263,0
astro-ph/0310264,2
astro-ph/0310265,0
astro-ph/0310266,0
astro-ph/0310267,0
astro-ph/0310268,0
astro-ph/0310269,0
astro-ph/0310270,0
astro-ph/0310271,0
astro-ph/0310272,0
astro-ph/0310273,0
astro-ph/0310274,2
